Ports,Region,Cntr Cycle Name,Cntr No,Cntr Size,cntr_trxn_id,Dpd Dpe,In Time,Is Empty,Max,orgname,Out Time,Transportmode
APSEZ,Western,EXPORT,TRHU1678537,20,,,18/7/2020 03:55,,32349328,Adani International Container Terminal (AICTPL),26/7/2020 07:20,RAIL
APSEZ,Western,EXPORT,BMOU2427550,20,,,20/7/2020 06:40,,32815829,Adani International Container Terminal (AICTPL),26/7/2020 06:37,RAIL
APSEZ,Western,EXPORT,MEDU3420566,20,,,20/7/2020 05:07,,32817886,Adani International Container Terminal (AICTPL),26/7/2020 06:37,RAIL
APSEZ,Western,EXPORT,TRHU1550607,20,,,20/7/2020 06:02,,32825786,Adani International Container Terminal (AICTPL),26/7/2020 11:38,RAIL
APSEZ,Western,EXPORT,FCIU5765672,20,,,20/7/2020 04:54,,32831758,Adani International Container Terminal (AICTPL),26/7/2020 06:51,RAIL
APSEZ,Western,EXPORT,TCLU7688125,20,,,22/7/2020 00:11,,32838628,Adani International Container Terminal (AICTPL),26/7/2020 11:33,RAIL
APSEZ,Western,EXPORT,MEDU6795838,20,,,20/7/2020 19:18,,32841567,Adani International Container Terminal (AICTPL),26/7/2020 08:38,RAIL
APSEZ,Western,EXPORT,MEDU2025340,20,,,20/7/2020 09:35,,32843242,Adani International Container Terminal (AICTPL),26/7/2020 08:30,RAIL
APSEZ,Western,EXPORT,MEDU3077605,20,,,20/7/2020 09:15,,32844040,Adani International Container Terminal (AICTPL),26/7/2020 11:29,RAIL
APSEZ,Western,EXPORT,CAIU2522428,20,,,17/7/2020 21:23,,32882401,Adani International Container Terminal (AICTPL),26/7/2020 11:29,RAIL
APSEZ,Western,EXPORT,BEAU2779089,20,,,12/7/2020 01:36,,32923451,Adani International Container Terminal (AICTPL),26/7/2020 07:36,RAIL
APSEZ,Western,EXPORT,MEDU6700508,20,,,11/7/2020 03:38,,32927211,Adani International Container Terminal (AICTPL),26/7/2020 10:42,RAIL
APSEZ,Western,EXPORT,DRYU2696523,20,,,18/7/2020 18:04,,32950142,Adani International Container Terminal (AICTPL),26/7/2020 08:45,RAIL
APSEZ,Western,EXPORT,TCKU1486140,20,,,17/7/2020 21:46,,32956331,Adani International Container Terminal (AICTPL),26/7/2020 11:21,RAIL
APSEZ,Western,EXPORT,CAIU3173188,20,,,17/7/2020 22:45,,32957390,Adani International Container Terminal (AICTPL),26/7/2020 10:50,RAIL
